cat,Pos_TimeDate,Cus_CardNo,qty
663,16,1,3
752,12,1,2
781,11,1,2
803,15,1,1
812,12,1,2
819,15,1,4
863,36,3,4
959,12,1,2
969,86,197,13
B18,34,3,4
B19,66,6,15
B23,13,1,6
B29,11,1,2
B34,14,1,2
B35,33,3,4
B37,13,1,1
B40,86,470,20
B48,88,1118,6
B49,88,1009,37
B50,88,1130,12
B51,88,270,11
B52,87,175,76
B53,88,989,1011
B55,87,346,24
B56,88,1845,14
B57,58,7,5
B58,86,35,9
B59,86,52,5
B60,73,10,7
B61,85,21,5
B63,85,20,9
B64,73,15,3
B67,20,2,3
B68,12,1,2
B70,88,355,13
B72,88,146,12
B73,81,18,5
B74,84,20,4
B75,86,92,6
B76,85,31,5
B77,87,36,9
B78,86,66,9
B79,30,3,4
B80,86,65,20
B81,28,3,5
B84,86,47,9
B85,33,3,4
B87,59,8,6
B88,12,1,2
C10,86,33,238
C12,87,186,479
C13,86,193,400
C14,88,795,662
C15,88,100,273
C17,86,39,221
C18,71,10,102
C19,56,7,60
C30,86,27,18
C31,87,49,8
C32,85,47,22
C33,87,179,10
C34,86,76,5
C35,78,16,5
C36,30,3,3
C38,11,1,1
C39,33,3,4
C51,63,6,7
C52,27,2,4
C56,64,6,11
C57,38,4,3
D10,86,30,227
D11,85,21,180
D12,79,15,130
D13,88,751,746
D14,86,53,312
D15,86,36,234
D16,87,79,344
D17,75,11,94
D18,74,16,106
D19,86,68,364
D20,51,7,73
D21,36,4,38
D22,48,6,57
D24,30,3,23
D25,72,11,117
D26,27,3,29
D27,48,4,46
D28,79,15,162
D30,88,1007,32
D31,88,331,13
D32,88,350,16
D33,87,197,22
D34,87,67,12
D36,72,11,6
D37,88,109,9
D38,87,93,16
D40,88,6748,20
D41,88,401,20
D42,87,64,7
D43,87,60,8
D46,86,53,6
D48,12,1,1
D49,86,281,13
D50,85,51,80
D51,11,1,8
D54,86,52,4
D55,86,47,7
D56,84,40,7
D57,86,59,8
D58,86,130,12
D59,85,35,8
D65,78,15,5
D66,88,195,16
D67,74,13,5
D68,87,116,15
D69,86,35,4
D70,86,216,604
D71,72,12,3
D78,81,31,8
D79,68,12,6
D80,83,25,7
D82,74,12,4
D83,46,3,2
D85,77,11,4
D86,21,2,2
D90,88,76,5
D91,87,60,9
D92,11,1,1
D93,87,43,8
E10,86,29,6
E11,82,20,5
E16,82,20,7
E30,86,77,386
E31,11,1,10
E32,87,83,314
E33,35,3,31
E34,12,1,11
E38,76,7,76
E50,49,5,4
E51,83,23,5
E52,63,6,3
E54,86,51,4
E57,43,4,5
E60,88,698,14
E61,88,176,20
E62,88,323,16
E63,58,6,6
E70,87,364,7
E71,65,9,3
E72,86,240,20
E73,87,71,4
E74,87,38,10
F10,86,52,465
F30,56,4,8
F31,11,1,1
F33,72,12,5
F34,83,23,16
F35,47,3,6
F38,15,1,1
F50,81,21,142
F53,80,14,5
F56,22,2,2
F57,22,2,12
F59,11,1,1
F74,87,53,10
F75,54,4,4
F76,30,3,4
F77,26,2,2
F78,38,4,5
F79,21,2,3
G14,87,361,20
G15,88,348,11
G16,86,110,9
G17,87,213,6
G18,22,2,3
G19,78,11,8
G20,67,10,4
G21,44,5,2
G23,14,2,2
G24,33,3,2
G25,69,10,4
G26,84,28,6
G27,86,23,8
G28,24,2,2
G30,86,42,4
G31,86,121,11
G32,81,17,16
G33,87,100,14
G34,86,39,7
G35,86,61,18
G37,88,304,15
G42,85,41,29
G59,13,1,2
G62,11,1,2
H12,22,2,2
H17,12,1,1
H22,36,4,3
H23,11,1,1
H39,28,3,3
H50,53,6,3
H51,30,3,1
H53,12,1,1
H70,11,1,1
H71,25,3,2
H75,13,1,2
H77,60,9,4
I10,61,8,3
I16,79,14,5
I17,86,34,5
I18,26,2,2
I51,12,1,4
I75,14,1,2
J50,46,5,5
J51,84,40,6
J55,48,5,3
J57,23,2,4
J58,80,20,4
J60,12,1,1
J61,17,1,2
J64,84,25,6
J69,11,1,1
J70,67,10,3
J71,52,7,6
K11,56,8,4
K12,13,1,2
K13,55,7,2
K17,22,1,4
K18,84,15,26
K20,73,9,12
K21,26,2,5
K23,12,1,1
K71,31,3,3
K72,11,1,2
K73,84,27,6
K74,76,21,4
K76,11,1,1
K77,30,3,1
K78,86,27,4
K79,24,2,2
K80,23,1,3
K83,11,1,1
K84,33,4,3
K85,68,8,4
K86,39,4,2
K87,35,2,2
K89,87,25,8
L10,86,57,5
L30,23,2,2
L31,11,1,1
L32,80,15,4
L34,85,24,9
L36,11,1,2
L37,46,4,6
L40,14,1,2
L41,56,6,4
L42,76,14,5
L51,57,4,3
L52,88,560,10
L53,88,33,4
L54,14,1,1
L58,86,21,8
L59,65,8,6
L60,21,2,2
L61,54,8,3
L63,88,77,10
L66,87,43,6
L67,57,6,7
L68,86,276,10
L70,43,4,3
L71,60,8,7
L73,68,15,6
L74,78,17,9
L77,81,18,6
L78,11,1,2
L79,69,7,9
L86,49,5,7
L87,84,27,8
M10,71,14,168
M11,86,51,462
M12,88,778,2942
M13,24,2,19
M15,74,13,183
M16,40,3,47
M19,88,401,2047
M20,38,5,2
M21,20,2,22
M22,22,2,23
M24,14,1,14
M25,80,19,5
M26,32,3,37
M28,47,5,61
M36,11,1,2
M50,88,41,4
M51,15,1,2
M52,84,25,5
M53,12,1,1
M54,83,23,5
M55,11,1,3
M56,65,8,8
M57,74,14,4
M58,87,72,7
M59,53,6,4
M61,67,13,3
M62,12,1,2
M63,27,3,3
M64,60,9,3
N10,33,1,6
N11,79,20,12
N12,87,46,6
N13,28,3,6
N15,50,6,5
N60,73,12,4
N61,86,42,10
N64,61,7,3
N65,82,24,8
N68,68,10,14
N69,13,1,5
N70,86,49,11
N72,36,3,9
O10,74,14,7
O11,86,90,14
O12,86,37,11
O13,18,2,2
O14,14,1,2
O15,86,120,20
O16,25,2,3
O17,88,277,13
O18,88,203,9
O19,86,32,22
O20,86,47,9
O24,42,5,2
O27,86,62,12
O28,13,1,1
O30,56,7,3
O31,38,4,3
O53,81,19,5
O54,87,123,8
O55,87,311,17
O56,87,52,12
O57,21,2,2
O58,88,504,11
O59,47,5,5
O60,87,153,11
O61,84,31,8
P21,86,80,12
P40,70,10,5
P60,23,2,2
P61,88,57,5
P62,88,342,59
P63,87,66,24
P65,75,10,3
P66,86,195,24
P67,87,157,11
Q12,44,4,5
Q14,36,4,2
Q40,86,72,14
Q41,87,197,14
Q42,86,32,9
Q43,22,2,2
Q44,86,42,10
Q45,80,19,14
Q46,88,227,13
Q47,88,165,12
Q48,86,31,8
Q49,56,8,5
Q90,56,8,2
Q91,64,7,4
Q93,86,73,8
Q95,54,5,8
Q96,14,1,2
Q97,71,10,8
Q98,30,3,6
Q99,26,2,2
R10,85,22,13
R14,88,39,12
R15,88,102,16
R16,88,366,13
R18,88,248,22
R19,86,128,13
R20,73,11,7
R22,87,294,15
R23,88,3340,25
R24,86,29,16
R25,87,52,15
R26,87,182,22
R27,11,1,5
R28,86,66,12
R30,86,35,6
R31,55,6,2
R32,88,211,10
R33,88,1089,19
R50,53,6,2
R51,84,24,5
R54,79,15,10
R55,23,2,3
R56,86,73,8
R57,36,5,3
R58,87,25,8
R59,16,1,2
R62,31,2,4
R63,11,1,3
R64,79,10,6
R66,70,10,5
R67,88,372,16
R69,13,1,2
R70,87,19,5
R71,86,87,6
R73,50,6,4
R74,88,260,24
R75,12,1,4
R76,87,103,13
R77,86,19,14
R78,31,3,3
R79,61,6,9
S10,31,2,2
S11,44,5,3
S12,86,32,5
S13,86,65,6
S14,88,92,5
S15,12,1,2
S16,11,1,2
S17,24,2,7
S21,79,20,5
S22,55,7,3
S23,35,2,3
S25,86,101,10
S50,34,4,3
S52,83,26,3
S54,25,3,2
S55,83,20,2
S70,81,23,4
S73,46,4,4
S74,62,7,5
S76,12,2,2
S78,11,1,4
S80,11,1,2
S81,23,2,4
S83,32,3,4
S84,26,3,6
S85,43,4,5
S86,75,12,5
S87,86,118,9
S88,84,23,4
S89,20,2,1
S91,84,17,7
S92,32,2,7
S93,11,1,2
S94,24,2,3
S95,12,1,1
S96,53,6,8
T01,86,155,995
T10,88,894,1964
T11,88,719,2531
T12,88,2423,1889
T13,88,243,863
T14,87,1288,1679
T15,78,17,8
T16,86,38,7
T17,88,992,3439
T18,55,8,88
T19,88,1864,2516
T20,88,4361,4656
T21,88,136,500
T22,88,688,18
T23,88,4224,3201
T24,85,50,436
T25,87,174,877
T27,73,8,104
T51,27,3,3
T52,12,1,2
T53,75,13,3
T54,48,5,3
T57,15,1,3
T58,57,5,6
T59,51,5,4
T60,85,46,4
T61,69,10,6
T62,75,14,5
T63,20,1,3
T64,13,1,2
T66,18,1,4
T71,69,11,4
T72,43,4,2
T73,64,8,4
T75,34,3,2
T76,86,23,6
V11,66,9,5
V13,56,7,5
V14,35,4,7
V16,40,4,3
V17,32,3,3
V19,59,9,4
V21,66,11,7
X10,66,37,7
